doc ner ner_spacy text
0 I-Degree O in
0 L-Degree B-ORG Engineering
0 "B-College Name" I-ORG Srinivas
0 "I-College Name" I-ORG Institute
0 "I-College Name" I-ORG of
0 "L-College Name" L-ORG Technology
0 O O Mangalore
0 O B-ORG Karnataka
0 O L-ORG Electronics
0 O O and
0 O O Communication
0 - B-ORG Visvesvaraya
0 - I-ORG Technological
0 - L-ORG University
0 "B-College Name" B-PERSON Vidyodaya
0 "I-College Name" L-PERSON P.U.
0 "L-College Name" O College
0 O U-ORG Udipi
0 O U-ORG Karnataka
0 O O SKILLS
0 O O coding
0 O B-DATE Less
0 O I-DATE than
0 O I-DATE 1
0 O L-DATE year
0 O U-ORG HDL
0 O B-DATE Less
0 O I-DATE than
0 O I-DATE 1
0 O L-DATE year
0 O U-ORG Microsoft
0 O O office
0 O B-DATE Less
0 O I-DATE than
0 O I-DATE 1
0 O L-DATE year
0 O B-ORG MS
0 O L-ORG OFFICE
0 O B-DATE Less
0 O I-DATE than
0 O I-DATE 1
0 O L-DATE year
0 O U-ORG UART
0 O B-DATE Less
0 O I-DATE than
0 O I-DATE 1
0 O L-DATE year
0 O O ADDITIONAL
0 O O INFORMATION
0 O O Technical
0 O O Skills

0 O B-PERSON Verilog
0 O L-PERSON HDL

0 O U-PERSON Knowledge
0 O O of
0 O U-ORG RTL
0 O O coding
0 O U-ORG FSM
0 O O based
0 O O designs

0 O B-ORG Understanding
0 O I-ORG of
0 O L-ORG UART
0 O U-ORG AMBA
0 O O protocol

0 O O Platforms
0 O U-ORG Microsoft
0 O O office
0 O U-ORG Libreoffice

1 O O Vikas
1 O O Singh
1 O O Chandigarh
1 O B-PERSON Chandigarh
1 O L-PERSON Email
1 O O me
1 O O on
1 O O Indeed
1 O O indeed.com/r/Vikas-Singh/8644db42854c4f6a
1 O O I
1 O O 've
1 O B-DATE 4.6
1 O L-DATE years
1 O O of
1 O O IT
1 O O experience
1 O O in
1 O B-ORG Identity
1 O I-ORG and
1 O I-ORG Access
1 O L-ORG Management
1 O O with
1 O O Infosys
1 O O limited

1 O O It
1 O O involves
1 O O troubleshooting
1 O O and
1 O O resolving
1 O O workflow
1 O O errors
1 O O and
1 O O provisioning
1 O O user
1 O O access

1 O O I
1 O O perform
1 O O identity
1 O O and
1 O O access
1 O O management
1 O O activities
1 O O updating
1 O O existing
1 O O access
1 O O and
1 O O provisioning
1 O O workflows
1 O O manage
1 O O operations
1 O O within
1 O O the
1 O U-ORG IAM
1 O O environment

1 O O Currently
1 O O I
1 O O 'm
1 O O working
1 O O on
1 O O automating
1 O O the
1 O O work
1 O O flow
1 O O of
1 O O Security
1 O O Intelligence
1 O O and
1 O O Response
1 O O Team
1 O O with
1 O O Phantom
1 O O and
1 O O Python
1 O O scripting

1 O O I
1 O O 'm
1 O O trained
1 O O in
1 O U-GPE Python
1 O U-GPE Solaris
1 O O administration
1 O U-PERSON Java
1 O O and
1 O U-PERSON PLSQL

1 O O I
1 O O 'm
1 O O able
1 O O to
1 O O handle
1 O O multiple
1 O O tasks
1 O O and
1 O O work
1 O O as
1 O O a
1 O O team
1 O O Member

1 O O I
1 O O 've
1 O O excellent
1 O O analytical
1 O O problem
1 O O solving
1 O O and
1 O O programming
1 O O skills

1 O O I
1 O O 'm
1 O O committed
1 O O goal
1 O O oriented
1 O O has
1 O O zeal
1 O O to
1 O O learn
1 O O new
1 O O things
1 O O technologies

1 O O I
1 O O am
1 O O graduated
1 O O in
1 O B-ORG Electronics
1 O I-ORG and
1 O I-ORG Communication
1 O L-ORG Engineering
1 O O in
1 O U-DATE 2013
1 O O with
1 O O excellent
1 O O grades

1 O O I
1 O O possess
1 O O good
1 O O problem
1 O O solving
1 O O interpersonal
1 O O skills
1 O O good
1 O O communication
1 O O skills
1 O O and
1 O O team
1 O O spirit

1 O O WORK
1 O B-ORG EXPERIENCE
1 - I-ORG Technology
1 - L-ORG Analyst
1 O O Infosys
1 O O Limited
1 O O Chandigarh
1 O B-ORG Chandigarh
1 O B-DATE October
1 O L-DATE 2013
1 O O to
1 O B-ORG Present
1 O I-ORG A.
1 O I-ORG Change
1 O L-ORG Management
1 O O Installing
1 O O and
1 O O upgrading
1 O U-ORG RT
1 O O and
1 O O RTIR
1 O O for
1 O O improved
1 O O request
1 O O handling
1 O O with
1 O U-PERSON MySQL
1 O O database

1 O B-PERSON B.
1 O I-PERSON Python
1 O L-PERSON Automation
1 O O Automating
1 O O various
1 O O use
1 O O cases
1 O O for
1 O B-ORG the
1 O I-ORG Security
1 O I-ORG Intelligence
1 O I-ORG and
1 O I-ORG Response
1 O L-ORG Team
1 O O using
1 O B-ORG Python
1 O O scripting
1 O O and
1 O O Phantom
1 O O tool
1 O O integrating
1 O O it
1 O O with
1 O O various
1 O O tools
1 O O i.e.
1 O U-ORG Splunk
1 O B-PERSON Request
1 O L-PERSON Tracker
1 O O for
1 O O Incident
1 O O Response
1 O O RTIR
1 O U-PERSON Remedy
1 O O etc

1 O U-PERSON Below
1 O O are
1 O O the
1 O O use
1 O O cases
1 O O details
1 O O Use
1 O O Cases
1 O O Description
1 O O Proxy
1 O O Blocks
1 O O Enable
1 O O the
1 O O ability
1 O O to
1 O O block
1 O O domains
1 O O and
1 O O URLs
1 O O automatically
1 O O on
1 O U-PERSON Bluecoat
1 O O proxies
1 O O using
1 O O a
1 O O list
1 O O maintained
1 O O in
1 O O SPLUNK
1 O B-GPE Palo
1 O I-GPE Alto
1 O L-GPE Blocks
1 O O Enable
1 O O the
1 O O ability
1 O O to
1 O O block
1 O O domains
1 O O and
1 O O URLs
1 O O automatically
1 O O on
1 O B-GPE Palo
1 O L-GPE Alto
1 O O proxies
1 O O using
1 O O a
1 O O list
1 O O maintained
1 O O in
1 O O SPLUNK
1 O B-PERSON Threat
1 O I-PERSON Intel
1 O L-PERSON Email
1 O O feed
1 O O ingestion
1 O O Take
1 O O emails
1 O O from
1 O O an
1 O O external
1 O O distribution
1 O O group
1 O O and
1 O O parse
1 O O the
1 O O emails
1 O O for
1 O O IOCs
1 O B-ORG Email
1 O I-ORG Eradication
1 O O When
1 O O a
1 O O Malicious
1 O O email
1 O O has
1 O O been
1 O O detected
1 O O as
1 O O being
1 O O received
1 O O in
1 O B-ORG the
1 O I-ORG Microsoft
1 O L-ORG Exchange
1 O O email
1 O O system
1 O O perform
1 O O eradication
1 O O steps
1 O O to
1 O O remove
1 O O the
1 O O email
1 O O from
1 O O the
1 O O email
1 O O messaging
1 O O platform
1 O B-PERSON Email
1 O L-PERSON Quarantine
1 O O Email
1 O O addresses
1 O O alerted
1 O O as
1 O O malicious
1 O O need
1 O O to
1 O O be
1 O O added
1 O O to
1 O O a
1 O O quarantine
1 O O list
1 O O Malware
1 O U-PERSON Response
1 O O When
1 O O malware
1 O O is
1 O O detected
1 O O by
1 O O alert
1 O O or
1 O O scanning
1 O O initiate
1 O O containment
1 O O procedures
1 O O for
1 O O the
1 O O affected
1 O O device
1 O O in
1 O O question
1 O B-ORG Unapproved
1 O L-ORG Devices
1 O O https://www.indeed.com/r/Vikas-Singh/8644db42854c4f6a?isid=rex-download&ikw=download-top&co=IN
1 O O When
1 O O alerts
1 O O for
1 O B-ORG Unapproved
1 O L-ORG Devices
1 O O equipment
1 O O that
1 O O is
1 O O not
1 O O in
1 O U-ORG Organization
1 O O asset
1 O O inventory
1 O O is
1 O O triggered
1 O O containment
1 O O needs
1 O O to
1 O O occur
1 O O for
1 O O the
1 O O device
1 O O in
1 O O question
1 O O IOC
1 O O Detect
1 O O and
1 O U-GPE Scanning
1 O O using
1 O U-PERSON Tanium
1 O O and
1 O O Fireeye
1 O O HX
1 O O When
1 O B-ORG Indicators
1 O I-ORG of
1 O L-ORG Compromise
1 O O IOC
1 O O are
1 O O received
1 O O from
1 O O various
1 O O sources
1 O O threat
1 O O intel
1 O O feeds
1 O O exploded
1 O O malware
1 O O the
1 O O network
1 O O environment
1 O O needs
1 O O to
1 O O be
1 O O scanned
1 O O for
1 O O any
1 O O of
1 O O the
1 O O indicators
1 O O of
1 O O compromise
1 O O provided

1 O O Clear
1 O O Text
1 O O Passwords
1 O O detected
1 O O Automatically
1 O O flag
1 O O users
1 O O password
1 O O to
1 O O reset
1 O O in
1 O B-ORG Active
1 O L-ORG Directory
1 O O when
1 O O an
1 O O alert
1 O O in
1 O O SPLUNK
1 O O for
1 O O a
1 O O clear
1 O O text
1 O O password
1 O O detected
1 O O fires
1 O O Create
1 O O ticket
1 O O from
1 O O Splunk
1 O O or
1 O O MSSP
1 O O Alert
1 O O Develop
1 O O a
1 O O script
1 O O that
1 O O takes
1 O O the
1 O O details
1 O O of
1 O O an
1 O O alert
1 O O from
1 O O an
1 O O alert
1 O O generated
1 O O in
1 O O SPLUNK
1 O O and
1 O O create
1 O O or
1 O O append
1 O O to
1 O O a
1 O O ticket
1 O O in
1 O O the
1 O O ticketing
1 O O system
1 O O in
1 O O use
1 O O Triage
1 O O and
1 O O Identification
1 O O Execute
1 O O the
1 O O triage
1 O O and
1 O O identification
1 O O steps
1 O O that
1 O O are
1 O O performed
1 O O manually
1 O U-DATE today
1 O O Information
1 O O Security
1 O O Analyst
1 O O Infosys
1 O O Limited
1 O O Chandigarh
1 O B-PERSON Chandigarh
1 O U-DATE 2013
1 O O to
1 O B-ORG Present
1 O I-ORG A.
1 O L-ORG Identity
1 O O management
1 O O Infosys
1 O O Limited
1 O B-DATE May
1 O L-DATE 2014
1 O O to
1 O B-DATE December
1 O L-DATE 2017
1 O O management
1 O B-DATE May
1 O L-DATE 2014
1 O O Dec
1 O O 2017
1 O O Following
1 O O are
1 O O my
1 O O roles
1 O O and
1 O O responsibilities
1 O O in
1 O O the
1 O O project
1 O B-ORG A.
1 O L-ORG Identity
1 O O management
1 O O Tracking
1 O O and
1 O O processing
1 O O identity
1 O O creation
1 O O for
1 O O all
1 O O the
1 O O new
1 O O hires
1 O O along
1 O O with
1 O O basic
1 O O access
1 O O e.g.
1 O O Email
1 O O Active
1 O O Directory
1 O O accounts
1 O O and
1 O O including
1 O O mandatory
1 O O security
1 O O related
1 O O groups

1 O O Also
1 O O making
1 O O sure
1 O O access
1 O O is
1 O O disabled
1 O O on
1 O O the
1 O O user
1 O O departure
1 O O date
1 O O and
1 O O cleaning
1 O O up
1 O O of
1 O O all
1 O O the
1 O O access

1 O O Reviewing
1 O O access
1 O O periodically
1 O O and
1 O O updating
1 O O it
1 O O accordingly

1 O B-PERSON B.
1 O L-PERSON Access
1 O O management
1 O O This
1 O O involves
1 O O provisioning
1 O O de
1 O O provisioning
1 O O access
1 O O to
1 O O users
1 O O across
1 O U-CARDINAL 300
1 O O applications
1 O O using
1 O O various
1 O O global
1 O O and
1 O O in
1 O O house
1 O O tools
1 O O like
1 O O RSA
1 O O security
1 O O console
1 O U-ORG SAP
1 O B-ORG Identity
1 O L-ORG IIQ
1 O O etc

1 O O across
1 O O multiple
1 O O platforms
1 O O like
1 O U-ORG UNIX
1 O U-ORG Database
1 O O and
1 O O application
1 O O front
1 O O end

1 O O Making
1 O O sure
1 O O standard
1 O O operative
1 O O procedures
1 O U-ORG SOP
1 O O are
1 O O followed
1 O O validation
1 O O checks
1 O O are
1 O O completed
1 O O and
1 O O appropriate
1 O O approvals
1 O O are
1 O O gathered
1 O O before
1 O O access
1 O O is
1 O O granted

1 O B-ORG C.
1 O I-ORG Quality
1 O L-ORG Management
1 O O Performing
1 O O quality
1 O O checks
1 O O on
1 O O random
1 O O samples
1 O O of
1 O O requests
1 O O on
1 O U-DATE daily
1 O O basis
1 O O and
1 O O sharing
1 O U-ORG QAP
1 O O results
1 O O with
1 O O administrators

1 O O Monitoring
1 O O and
1 O O tracking
1 O O the
1 O O corrective
1 O O actions
1 O O are
1 O O taken
1 O O within
1 O O defined
1 O O timeframe

1 O O Doing
1 O O RCA
1 O O on
1 O O major
1 O O issues
1 O O Developing
1 O O Service
1 O O Improvement
1 O O Plan
1 O U-ORG SIP
1 O O and
1 O O Process
1 O O Improvement
1 O O Plan
1 O U-ORG PIP
1 O O based
1 O O on
1 O O the
1 O O QAP
1 O O analysis
1 O O D.
1 O O Risk
1 O O Management
1 O O Identifying
1 O O risk
1 O O areas
1 O O through
1 O U-DATE daily
1 O O and
1 O O periodic
1 O O report
1 O B-ORG E.g.
1 O L-ORG Segregation
1 O O of
1 O O duties
1 O O violation
1 O O SOD
1 O O report
1 O O Active
1 O O directory
1 O O infraction
1 O O report
1 O O etc

1 O O Working
1 O O with
1 O O various
1 O O teams
1 O O to
1 O O mitigate
1 O O the
1 O O violations

1 O O Assisting
1 O O auditors
1 O O by
1 O O provide
1 O O details
1 O O and
1 O O justification
1 O O on
1 O O audit
1 O O samples

1 O O E.
1 O O Client
1 O O Coordination
1 O O Coordinating
1 O O with
1 O O client
1 O U-DATE daily
1 O U-DATE weekly
1 O O for
1 O O the
1 O O operations
1 O O issues
1 O O and
1 O O feedback
1 O O with
1 O O the
1 O O respective
1 O O reports
1 O O prepared

1 O O EDUCATION
1 B-Degree B-ORG Bachelor
1 I-Degree I-ORG of
1 I-Degree I-ORG Technology
1 I-Degree I-ORG in
1 I-Degree I-ORG Electronics
1 I-Degree I-ORG and
1 I-Degree I-ORG Communication
1 L-Degree L-ORG Engineering
1 "B-College Name" B-ORG GLA
1 "I-College Name" I-ORG Institute
1 "I-College Name" I-ORG of
1 "I-College Name" I-ORG Technology
1 "I-College Name" I-ORG and
1 "L-College Name" L-ORG Management
1 O O Mathura
1 O B-ORG Uttar
1 O L-ORG Pradesh
1 O B-DATE September
1 O I-DATE 2009
1 O I-DATE to
1 O I-DATE June
1 O L-DATE 2013
1 O O SKILLS
1 O O SECURITY
1 O B-DATE 5
1 O L-DATE years
1 O O INFORMATION
1 O O SECURITY
1 O B-DATE 5
1 O L-DATE years
1 O O ACTIVE
1 O O DIRECTORY
1 O B-DATE 3
1 O L-DATE years
1 O O UNIX
1 O B-DATE Less
1 O I-DATE than
1 O I-DATE 1
1 O L-DATE year
1 O O ADDITIONAL
1 O O INFORMATION
1 O O TECHNICAL
1 O O SKILLS
1 O O ●
1 O O Operating
1 O O Systems
1 O O Windows
1 O U-GPE Solaris
1 O O ●
1 O O Languages
1 O O Python
1 O B-PERSON Core
1 O L-PERSON Java
1 O U-ORG SQL
1 O O Unix
1 O O ●
1 O O Software
1 O O Sailpoint
1 O O IIQ
1 O B-ORG Oracle
1 O L-ORG IAM
1 O U-GPE Beeline
1 O U-ORG SAP
1 O B-ORG Active
1 O L-ORG Directory
1 O O Phantom
1 O O Quest
1 O O change
1 O O auditor
1 O B-ORG Microsoft
1 O I-ORG Office
1 O L-ORG Suite
1 O O ●
1 O O Information
1 O O Security
1 O O Concepts
1 O O and
1 O O best
1 O O practices

2 O B-PERSON Puneeth
2 O L-PERSON R
2 B-Designation B-ORG Escalation
2 L-Designation I-ORG Specialist
2 O I-ORG HiPower
2 O I-ORG Support
2 O L-ORG Centre
2 O O Bengaluru
2 O B-PERSON Karnataka
2 O L-PERSON Email
2 O O me
2 O O on
2 O O Indeed
2 O O indeed.com/r/Puneeth-R/bc332220e733906d
2 O O To
2 O O be
2 O O an
2 O O asset
2 O O to
2 O O my
2 O O organization
2 O O by
2 O O utilizing
2 O O the
2 O O recent
2 O O improving
2 O O trends
2 O O and
2 O O make
2 O O optimum
2 O O use
2 O O of
2 O O the
2 O O available
2 O O resources
2 O O for
2 O O the
2 O O success
2 O O of
2 O O the
2 O O company

2 O O More
2 O O importantly
2 O O working
2 O O harmoniously
2 O O in
2 O O a
2 O O team
2 O O to
2 O O bring
2 O O forth
2 O O the
2 O O best
2 O O from
2 O O self
2 O O and
2 O O everyone

2 O O Willing
2 O O to
2 O O relocate
2 O O Anywhere
2 O O WORK
2 O O EXPERIENCE
2 B-Designation O Escalation
2 L-Designation O Specialist
2 O O HiPower
2 O O Support
2 O O Centre
2 O B-DATE June
2 O L-DATE 2015
2 O O to
2 O B-ORG Present
2 O L-ORG Client
2 O O Machine
2 O O Zone
2 O O Supporting
2 O O 3
2 O O Games
2 O B-ORG Roles
2 O L-ORG amp
2 O O Responsibilities

2 O O Escalating
2 O O tickets
2 O O to
2 O O clients
2 O B-ORG Creating
2 O L-ORG Inquiries
2 O O regarding
2 O O the
2 O O process
2 O O to
2 O O receive
2 O O update
2 O O from
2 O U-ORG Clients
2 O O Providing
2 O O feedback
2 O O to
2 O O Agents
2 O O regarding
2 O O Clients
2 O O Escalations
2 O O and
2 O O internal
2 O O invalid
2 O U-ORG Escalations

2 O O Team
2 O O handling
2 O O Mentor

2 O O Tracking
2 O O performances
2 O O of
2 O O the
2 O O team
2 O O members
2 O O in
2 O O terms
2 O O of
2 O O Production
2 O O Quality
2 O O and
2 O O CSAT

2 O B-PERSON Monitoring
2 O L-PERSON Queue
2 O O Allocating
2 O O Agents
2 O O to
2 O O different
2 O O queues
2 O B-ORG Preparing
2 O L-ORG Reports
2 O U-ORG Process
2 O O improvements
2 O O initiatives

2 O O Taking
2 O O operations
2 O O training
2 O O sessions
2 O O on
2 O U-PRODUCT Gameplay
2 O U-ORG DSAT
2 O O reviews
2 O U-ORG Quality
2 O U-ORG FTR
2 O O and
2 O U-ORG Tickets
2 O O handling

2 O B-ORG Maintaining
2 O L-ORG amp
2 O O ensuring
2 O O stringent
2 O O adherence
2 O O to
2 O O quality
2 O O standards
2 O O identifying
2 O O gaps
2 O O and
2 O O opportunities
2 O O by
2 O O live
2 O O assistance

2 O O Handled
2 O O OJT
2 O O and
2 O B-ORG Tenured
2 O L-ORG Team

2 O O Handling
2 O O Supervisor
2 O O tickets
2 O U-PERSON Lead
2 O O compensations
2 O O and
2 O U-ORG Audits

2 O B-PERSON Sales
2 O L-PERSON Associate
2 O O in
2 O U-GPE Convergys
2 O U-ORG AT&T
2 O B-DATE January
2 O L-DATE 2014
2 O O to
2 O B-DATE May
2 O L-DATE 2015
2 O O Client
2 O O AT&amp;T
2 O B-ORG Roles
2 O L-ORG amp
2 O O Responsibilities

2 O O Addressing
2 O O Customers
2 O O Billing
2 O O Inquiries
2 O O and
2 O O upselling
2 O O over
2 O U-GPE Chat

2 O B-PERSON Making
2 O L-PERSON Calls
2 O O to
2 O O customers
2 O O in
2 O O case
2 O O of
2 O O lead
2 O O generations

2 O O Process
2 O O Executive
2 O O Operations
2 O O in
2 O U-GPE Infosys
2 O O Cisco
2 O B-DATE August
2 O I-DATE 2012
2 O I-DATE to
2 O I-DATE November
2 O L-DATE 2013
2 O O Client
2 O B-PERSON Cisco
2 O O https://www.indeed.com/r/Puneeth-R/bc332220e733906d?isid=rex-download&ikw=download-top&co=IN
2 O O Contd

2 O B-ORG Roles
2 O L-ORG amp
2 O O Responsibilities

2 O B-ORG Assisting
2 O L-ORG Clients
2 O O over
2 O U-PERSON Email
2 O O and
2 O O Phone
2 O O regarding
2 O O Billing
2 O O discrepancies
2 O O and
2 O B-ORG Order
2 O L-ORG Management

2 O O CRM
2 O O tool
2 O O experience
2 O O in
2 O U-GPE Supporting
2 O O and
2 O O Reports
2 O O generation

2 O B-ORG Customer
2 O I-ORG Relations
2 O L-ORG Officer
2 O O in
2 O O HGS
2 O B-DATE December
2 O I-DATE 2011
2 O I-DATE to
2 O I-DATE July
2 O L-DATE 2012
2 O O Client
2 O O MTS

2 O O Making
2 O O calls
2 O O to
2 O O customers
2 O O to
2 O O review
2 O O customer
2 O O satisfaction
2 O O and
2 O O upselling

2 O B-PERSON Handled
2 O L-PERSON Escalations
2 O O from
2 O U-ORG Customers

2 O O Taking
2 O O Calls
2 O O to
2 O O address
2 O B-ORG Customers
2 - L-ORG Inquiries

2 - U-ORG EDUCATION
2 - O B.E
2 - B-ORG PES
2 - I-ORG College
2 O I-ORG of
2 O L-ORG Engineering
2 O O Mandya
2 O O Karnataka

3 O U-PERSON Sameer
3 O O More
3 O U-GPE Mumbai
3 O B-ORG Maharashtra
3 O L-ORG Email
3 O O me
3 O O on
3 O O Indeed
3 O O indeed.com/r/Sameer-More/183ccba2cb00a02a
3 O O Looking
3 O O for
3 O O opportunity
3 O O to
3 O O explore
3 O O my
3 O O skills
3 O O and
3 O O become
3 O B-ORG a
3 O I-ORG Professional
3 O I-ORG in
3 O L-ORG Industry

3 O O An
3 O O opportunity
3 O O that
3 O O gives
3 O O platform
3 O O good
3 O O working
3 O O environment
3 O O to
3 O O put
3 O B-PERCENT 100
3 O L-PERCENT %
3 O O efforts
3 O O for
3 O O an
3 O O organization
3 O O and
3 O O grow
3 O O with
3 O O an
3 O O organization
3 O O by
3 O O coordinating
3 O O with
3 O O the
3 O O seniors

3 O O WORK
3 O O EXPERIENCE
3 B-Designation O Assistant
3 I-Designation O Manager
3 L-Designation O Sales
3 O B-ORG Kotak
3 O I-ORG Mahindra
3 O L-ORG Bank
3 O O Mumbai
3 O U-ORG Maharashtra
3 O B-DATE February
3 O L-DATE 2018
3 O O to
3 O B-ORG Present
3 O L-ORG Sales
3 O O Marketing
3 O O EDUCATION
3 U-Degree B-ORG HSC
3 "B-College Name" U-GPE Mumbai
3 "L-College Name" O university
3 O U-GPE Mumbai
3 O U-ORG Maharashtra
3 O U-DATE 2012
3 O O to
3 O O 2013
3 U-Degree O SSC
3 O U-ORG Maharashtra
3 O O state
3 O O board
3 O U-DATE 2008
3 O O to
3 O U-DATE 2009
3 U-Degree B-ORG B.Com
3 O I-ORG Mumbai
3 O L-ORG University
3 O O ADDITIONAL
3 O O INFORMATION

3 O U-PERSON Honesty

3 O O Team
3 O O player

3 O O Punctuality

3 O O Listening

3 O O Patience

3 O O Flexible
3 O O for
3 O O working
3 O O in
3 O O any
3 O O situation

3 O O Self
3 O O -discipline
3 O O https://www.indeed.com/r/Sameer-More/183ccba2cb00a02a?isid=rex-download&ikw=download-top&co=IN

4 O O Aman
4 O O Panfeyy
4 B-Designation O Sales
4 L-Designation O Manager
4 O U-GPE Mumbai
4 O U-ORG Maharashtra
4 O U-ORG Maharashtra
4 O O Email
4 O O me
4 O O on
4 O O Indeed
4 O O indeed.com
4 O O r
4 O O Aman-
4 O O Panfeyy/1faf9b095409a61f
4 O O Build
4 O O a
4 O O full
4 O O scale
4 O O sales
4 O O operation
4 O O from
4 O O the
4 O O ground
4 O O up
4 O O duties
4 O O include
4 O O establishing
4 O O database
4 O O systems
4 O O recruitment
4 O O of
4 O B-ORG Sales
4 O L-ORG Executive
4 O O and
4 O O developing
4 O O sales
4 O O and
4 O O marketing
4 O O strategies
4 O O Passion
4 O O Intigrity
4 O U-ORG Positive
4 O O leadership
4 O O quality
4 O O WORK
4 O O EXPERIENCE
4 B-Designation O Sales
4 L-Designation O Manager
4 O O Jaycee
4 O O Construction
4 O B-DATE June
4 O I-DATE 2017
4 O L-DATE to
4 O B-DATE January
4 O L-DATE 2018
4 O O Handling
4 O O Customer
4 O O database
4 O O and
4 O O looking
4 O O after
4 O O customer
4 O O relationship
4 O O management
4 O O and
4 O O generating
4 O O a
4 O O leads
4 O O of
4 O O interested
4 O O investor
4 O O in
4 O O real
4 O O estate
4 O O market

4 B-Designation O Sales
4 L-Designation O Manager
4 O B-PERSON Shardha
4 O L-PERSON Motors
4 O B-DATE June
4 O I-DATE 2015
4 O I-DATE to
4 O I-DATE April
4 O L-DATE 2017
4 O O Managing
4 O O the
4 O O team
4 O O of
4 O O sales
4 O O executive
4 O O to
4 O O meetthe
4 O O target
4 O O and
4 O O implementing
4 O O new
4 O O advertising
4 O O strategy
4 O O to
4 O O boost
4 O O automobile
4 O O sale

4 O O And
4 O O maintaining
4 O O customer
4 O O database
4 B-Designation O Sales
4 I-Designation O team
4 L-Designation O leader
4 O U-CARDINAL One
4 O O stop
4 O O retail
4 O O ltd
4 O B-DATE June
4 O L-DATE 2013
4 O O to
4 O B-DATE May
4 O L-DATE 2015
4 O O Managing
4 O O the
4 O O team
4 O O of
4 O O representatives
4 O O and
4 O O ensuring
4 O O to
4 O O meet
4 O O sales
4 O O target

4 O O Generating
4 O O leads
4 O O of
4 O O potential
4 O O customer
4 O O along
4 O O with
4 O U-DATE daily
4 O O reports
4 O O and
4 O O analysis
4 O O EDUCATION
4 B-Degree O B
4 I-Degree O S.C
4 I-Degree O in
4 L-Degree B-ORG Commerce
4 "B-College Name" O University
4 "L-College Name" O technology
4 O U-GPE Mumbai
4 O U-ORG Maharashtra
4 O U-DATE 2016
